iter	RMSE
305	0.3419799334
306	0.3415521318
307	0.3412303283
308	0.3404111576
309	0.3398867986
310	0.3392531876
311	0.338852077
312	0.3385008764
313	0.3380479405
314	0.3376504532
315	0.3372199596
316	0.336741736
317	0.3363033138
318	0.3356203487
319	0.3349948682
320	0.3344666104
321	0.3339063166
322	0.3332462959
323	0.3328049945
324	0.3324945783
325	0.3321411018
326	0.3316282834
327	0.3314012079
328	0.3310803726
329	0.3305672058
330	0.3303182207
331	0.3299481083
332	0.3296600022
333	0.329271106
334	0.3288524658
335	0.3285988007
336	0.3282351268
337	0.3279306389
338	0.3274602578
339	0.3271737044
340	0.3267437313
341	0.3264919843
342	0.3261210205
343	0.3258036552
344	0.3254362769
345	0.3249685037
346	0.3244238588
347	0.3240940154
348	0.3237728881
349	0.3234802724
350	0.3225365528
351	0.3223176368
352	0.321794912
353	0.321285729
354	0.3209347387
355	0.3204919883
356	0.320216638
357	0.3197611022
358	0.3193789164
359	0.3191609189
360	0.3189700434
361	0.3187791614
362	0.3184825225
363	0.3181116569
364	0.3175947505
365	0.3169703872
366	0.3167584414
367	0.3164462441
368	0.3159483391
369	0.3157005248
370	0.3152472826
371	0.3149857582
372	0.314467351
373	0.3140081791
374	0.3136932379
375	0.313337846
376	0.3129479213
377	0.3126366629
378	0.3123096966
379	0.3118487062
380	0.3115189297
381	0.3112069008
382	0.3109212616
383	0.3107879133
384	0.3104146489
385	0.3099358008
386	0.309656743
387	0.3092895031
388	0.3088597126
389	0.3086002031
390	0.3082757508
391	0.3077860503
392	0.3075604183
393	0.3073091408
394	0.3070076109
395	0.3065813331
396	0.30622903
397	0.3060289545
398	0.305720065
399	0.3054300129
400	0.3050497881
401	0.3047317615
402	0.3045284911
403	0.3043276951
404	0.3041693839
405	0.3034900794
406	0.3028783218
407	0.302757749
408	0.3024795719
409	0.3022309916
410	0.3019864659
411	0.3016897132
412	0.3013484937
413	0.3010877452
414	0.3007907348
415	0.3005852151
416	0.3004500586
417	0.3000877959
418	0.2997301138
419	0.2992147344
420	0.298579247
421	0.2983430586
422	0.2980599775
423	0.2977903268
424	0.2975753652
425	0.2972675
426	0.2970789331
427	0.2967486114
428	0.2962530066
429	0.2958223104
430	0.2953803555
431	0.2950668459
432	0.294749399
433	0.2943382264
434	0.2942161015
435	0.2940390064
436	0.2938461367
437	0.2935595065
438	0.2932698626
439	0.2930806171
440	0.2928832568
441	0.2924626291
442	0.2920696553
443	0.2918005555
444	0.2914560577
445	0.2911725174
446	0.2909245316
447	0.2907474502
448	0.2906034319
449	0.2901031387
450	0.2898776155
451	0.2895247127
452	0.2889703103
453	0.2883968759
454	0.2880319828
455	0.2877682847
456	0.2874722018
457	0.2871706933
458	0.2868632988
459	0.2866438149
460	0.2864238252
461	0.2862184661
462	0.2859749665
463	0.2858124912
464	0.2853344802
465	0.2851117116
466	0.2847414422
467	0.284520486
468	0.2841089257
469	0.2839289071
470	0.2836211048
471	0.2834517813
472	0.2832125552
473	0.2830107982
474	0.282797369
475	0.2824889134
476	0.282238232
477	0.2820108314
478	0.2818211291
479	0.2816266252
480	0.2812866718
481	0.2810967715
482	0.280912258
483	0.2806103545
484	0.2804502404
485	0.2802906416
486	0.279911287
487	0.2793818609
488	0.2792019204
489	0.2787054628
490	0.2781984387
491	0.2776424982
492	0.2772812931
493	0.2771819846
494	0.2769538105
495	0.2767408486
496	0.2764617191
497	0.2762597133
498	0.2760360388
499	0.2757746856
500	0.2756218002
501	0.2753840136
502	0.2752042544
503	0.2749648286
504	0.2747287845
505	0.2744834442
506	0.2743134999
507	0.2738457956
508	0.2735799
509	0.273387956
510	0.2732497518
511	0.2730830004
512	0.2728440662
513	0.2725369879
514	0.2723325029
515	0.2720003672
516	0.2718488091
517	0.2717536427
518	0.2716262298
519	0.2713591182
520	0.2710019755
521	0.2708834571
522	0.2704771137
523	0.2702852397
524	0.270086157
525	0.2697798976
526	0.2696125164
527	0.269397426
528	0.2692056787
529	0.2688287667
530	0.2686494914
531	0.2685223694
532	0.2684387125
533	0.2682808998
534	0.2680316368
535	0.2678744132
536	0.2677569016
537	0.2674692672
538	0.2672406367
539	0.2670763664
540	0.2667357578
541	0.2666293132
542	0.2663553504
543	0.2662374686
544	0.2660024232
545	0.265762462
546	0.2656949749
547	0.2653860108
548	0.2651974709
549	0.2649525082
550	0.2646810219
551	0.2644049837
552	0.2642147706
553	0.2640437275
554	0.2639401056
555	0.2637412544
556	0.2634429933
557	0.2631084076
558	0.2628402882
559	0.2627162468
560	0.2625142592
561	0.2623173294
562	0.2621991836
563	0.2620577223
564	0.2619002836
565	0.2616833923
566	0.2614981921
567	0.2614002163
568	0.2611983827
569	0.2610169681
570	0.260645492
571	0.2603977089
572	0.2602135285
573	0.2600661198
574	0.259920073
575	0.259656525
576	0.2594566102
577	0.2592459286
578	0.2588939971
579	0.2585523825
580	0.258441483
581	0.258253691
582	0.257970411
583	0.2577407734
584	0.2575219094
585	0.2574067404
586	0.2572330755
587	0.2571082115
588	0.256986254
589	0.2568011585
590	0.2565649632
591	0.2563390441
592	0.2561840934
593	0.256051902
594	0.2558909296
595	0.2556916994
596	0.2553158882
597	0.2550626096
598	0.2548912992
599	0.2545819422
600	0.2544709717
601	0.2543194904
602	0.254186946
603	0.2540829963
604	0.253888981
605	0.2537045039
606	0.2535655923
607	0.2534531429
608	0.2533445574
609	0.2531892046
610	0.252989835
611	0.2528968372
612	0.2526595864
613	0.2523546302
614	0.2522669704
615	0.252059698
616	0.2518065123
617	0.2516093989
618	0.2515315693
619	0.2513120938
620	0.2510044339
621	0.2508739921
622	0.2505508389
623	0.2503579307
624	0.2500324191
625	0.2499057731
626	0.2498417546
627	0.2497118942
628	0.2494697541
629	0.2493057898
630	0.2489073895
631	0.248756291
632	0.2486324489
633	0.2483168866
634	0.2481696338
635	0.2480561672
636	0.2479712386
637	0.2477016906
638	0.2475536319
639	0.2473629189
640	0.2472140561
641	0.2469710168
642	0.2467371367
643	0.246612543
644	0.2463535272
645	0.2461076312
646	0.2459587712
647	0.2458263802
648	0.2457137717
649	0.2455191154
650	0.2452925994
651	0.2450861118
652	0.2448572586
653	0.2446642099
654	0.2445219997
655	0.2443423263
656	0.2441630084
657	0.2440623991
658	0.2437666577
659	0.2435101396
660	0.2432945833
661	0.2432300665
662	0.2429722817
663	0.2428686172
664	0.2426510901
665	0.2424483268
666	0.2422950811
667	0.2421899532
668	0.2420170769
669	0.241750679
670	0.2416116173
671	0.2413951414
672	0.2412806429
673	0.2411683887
674	0.2409414352
675	0.2408039115
676	0.2405902035
677	0.240392468
678	0.2403273378
679	0.240070622
680	0.2399775961
681	0.2397862702
682	0.239670422
683	0.2395962151
684	0.2395287726
685	0.2392688243
686	0.2391240174
687	0.23896153
688	0.2386533094
689	0.238505617
690	0.2383872195
691	0.2382192253
692	0.2379875973
693	0.2377456821
694	0.2375750783
695	0.2373387879
696	0.2372181208
697	0.237005621
698	0.2366866399
699	0.2363867414
700	0.2361754696
701	0.2360478658
702	0.235819357
703	0.2357085708
704	0.2356117486
705	0.2354428551
706	0.2352853925
707	0.2352150942
708	0.2349206064
709	0.2348337397
710	0.2346425247
711	0.2344068067
712	0.2342521676
713	0.234111751
714	0.2339430807
715	0.2338184855
716	0.233541833
717	0.2332672268
718	0.2331276899
719	0.2328358972
720	0.2325039631
721	0.2323781883
722	0.2322520968
723	0.2319972693
724	0.2318576277
725	0.2317764365
726	0.2317025682
727	0.2315639642
728	0.2313310802
729	0.2312111593
730	0.2310904617
731	0.2309420646
732	0.2307187558
733	0.2306001663
734	0.2304600272
735	0.2302448166
736	0.2300704476
737	0.2299940474
738	0.2298433602
739	0.2294922694
740	0.229380189
741	0.2292510077
742	0.2290201636
743	0.2288261873
744	0.2286835138
745	0.2285462095
746	0.2283230038
747	0.228160204
748	0.2280312234
749	0.2277711377
